run_id,run_name,hidden_dim,learning_rate,min_lr_ratio,adam_lr,num_layers,loss,optimizer_name,warmup
llama_1_2b_adamc_cos_4096_sqrt-61df30,llama_1_2b_adamc_cos_4096_sqrt-61df30,2048.0,0.002,0.0,,16.0,3.0535922050476074,,1000.0
llama_300m_adamc_cos_4096_sqrt-dc66bf,llama_300m_adamc_cos_4096_sqrt-dc66bf,768.0,0.008,0.0,,12.0,3.486036539077759,,2000.0
qwen3_1_2b_muonh_4096_lr_0.01_no_hybrid_norm-2128ed,qwen3_1_2b_muonh_4096_lr_0.01_no_hybrid_norm-2128ed,2048.0,0.01,0.0,0.0015,16.0,3.0174739360809326,muonh,1000.0
llama_130m_adamc_cos_4096_sqrt-ed5144,llama_130m_adamc_cos_4096_sqrt-ed5144,512.0,0.008,0.0,,6.0,3.843618869781494,,2000.0
llama_300m_adamc_cos_4096_sqrt_lr0.004_wd0.2-3793c1,llama_300m_adamc_cos_4096_sqrt_lr0.004_wd0.2-3793c1,768.0,0.004,0.0,,12.0,3.4736244678497314,,2000.0
qwen3_130m_muonh_4096_lr_0.02_no_hybrid_norm-4d3225,qwen3_130m_muonh_4096_lr_0.02_no_hybrid_norm-4d3225,512.0,0.02,0.0,0.002,6.0,3.7976667881011963,muonh,1000.0
qwen3_300m_muonh_4096_same_lr-f2f2fd,qwen3_300m_muonh_4096_same_lr-f2f2fd,768.0,0.02,0.0,0.008,12.0,3.9384329319000244,muonh,1000.0
qwen3_300m_muonh_4096_lr_0.01_no_hybrid_norm-47e07a,qwen3_300m_muonh_4096_lr_0.01_no_hybrid_norm-47e07a,768.0,0.01,0.0,0.002,12.0,3.4381115436553955,muonh,1000.0
qwen3_520m_muonh_4096_lr_0.01_no_hybrid_norm-bf74cb,qwen3_520m_muonh_4096_lr_0.01_no_hybrid_norm-bf74cb,1024.0,0.01,0.0,0.002,24.0,3.2106411457061768,muonh,1000.0
llama_130m_adamc_cos_4096_sqrt_lr0.004_wd0.2-4ff28a,llama_130m_adamc_cos_4096_sqrt_lr0.004_wd0.2-4ff28a,512.0,0.004,0.0,,6.0,3.8524649143218994,,2000.0
llama_520m_adamc_cos_4096_sqrt_lr0.002_wd0.4-d83f46,llama_520m_adamc_cos_4096_sqrt_lr0.002_wd0.4-d83f46,1024.0,0.002,0.0,,24.0,3.24153733253479,,1000.0
llama_520m_adamc_cos_4096_sqrt-4b0735,llama_520m_adamc_cos_4096_sqrt-4b0735,1024.0,0.004,0.0,,24.0,3.2679786682128906,,1000.0
qwen3_520m_muonh_4096_lr_0.02_adam_lr_0.004_adam_matche-96a06a,qwen3_520m_muonh_4096_lr_0.02_adam_lr_0.004_adam_matche-96a06a,1024.0,0.02,0.0,0.004,24.0,3.5068607330322266,muonh,0.0
qwen3_1_2b_muonh_4096_lr_0.015_adam_lr_0.0015_adam_matc-fe8d9a,qwen3_1_2b_muonh_4096_lr_0.015_adam_lr_0.0015_adam_matc-fe8d9a,2048.0,0.015,0.0,0.0015,16.0,3.571054458618164,muonh,0.0
exp1570_hidden128-mup-adamh-fixed-lr2-lr4.00e-2-c2a056,exp1570_hidden128-mup-adamh-fixed-lr2-lr4.00e-2-c2a056,128.0,0.04,0.1,0.04,4.0,4.67263126373291,adamh,0.1
exp1570_hidden128-mup-adamh-fixed-lr2-lr7.07e-3-738399,exp1570_hidden128-mup-adamh-fixed-lr2-lr7.07e-3-738399,128.0,0.007071067811865476,0.1,0.007071067811865476,4.0,4.583197593688965,adamh,0.1
exp1570_hidden128-mup-adamh-fixed-lr2-lr5.00e-3-a17c21,exp1570_hidden128-mup-adamh-fixed-lr2-lr5.00e-3-a17c21,128.0,0.005,0.1,0.005,4.0,4.577430248260498,adamh,0.1
